start_time,end_time
17:16:42,17:18:15
17:18:19,17:19:57
17:20:03,17:21:15
17:21:24,17:22:33
17:22:41,17:23:55
17:24:07,17:25:38
17:25:41,17:27:15
17:27:21,17:28:38
17:28:41,17:29:53
17:30:00,17:31:46
17:31:54,17:33:18
17:33:23,17:34:22
